"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","400","2203423531008","16650240","7426048","32648","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,453125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3840","Microsoft.Win32.SafeHandles.SafeProcessHandle","400","1456",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32648","32648","7426048","7426048","117528","117528","9887744","9887744","19337216","19337216","111964160","2203430187008","True","Normal","7426048","7426048","00:00:00.1718750","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4531250","00:00:00.2812500","105308160","2203423531008","False",,,,"16650240","16650240",,
"svchost","0","208","2203433127936","9191424","2031616","11264","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,046875","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2540","Microsoft.Win32.SafeHandles.SafeProcessHandle","208","1572",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11264","11264","2031616","2031616","161104","161104","2215936","2215936","9605120","9605120","117473280","2203435696128","True","Normal","2031616","2031616","00:00:00.0312500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00.0156250","114905088","2203433127936","False",,,,"9191424","9191424",,
"svchost","0","176","2203395108864","8290304","1785856","9928","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,015625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2248","Microsoft.Win32.SafeHandles.SafeProcessHandle","176","1636",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9928","9928","1785856","1785856","82816","82816","2113536","2113536","8437760","8437760","81104896","2203399327744","True","Normal","1785856","1785856","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","76886016","2203395108864","False",,,,"8290304","8290304",,
"svchost","0","369","2203436453888","14245888","4792320","17312","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,578125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3588","Microsoft.Win32.SafeHandles.SafeProcessHandle","369","1644",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17312","17312","4792320","4792320","241008","241008","5206016","5206016","14409728","14409728","126402560","2203444625408","True","Normal","4792320","4792320","00:00:00.3437500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5781250","00:00:00.2343750","118231040","2203436453888","False",,,,"14245888","14245888",,
"svchost","0","323","2203397500928","8486912","2539520","10224","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,15625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3084","Microsoft.Win32.SafeHandles.SafeProcessHandle","323","1680",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10224","10224","2539520","2539520","95040","95040","2850816","2850816","8740864","8740864","85577728","2203403800576","True","Normal","2539520","2539520","00:00:00.0312500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.1250000","79278080","2203397500928","False",,,,"8486912","8486912",,
"svchost","0","309","2203396907008","8957952","2093056","11440","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,015625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"3236","Microsoft.Win32.SafeHandles.SafeProcessHandle","309","1732",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11440","11440","2093056","2093056","98032","98032","2863104","2863104","9371648","9371648","86024192","2203404247040","True","Normal","2093056","2093056","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","78684160","2203396907008","False",,,,"8957952","8957952",,
"svchost","0","190","2203403124736","12169216","2056192","11688","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,0625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4936","Microsoft.Win32.SafeHandles.SafeProcessHandle","190","1808",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11688","11688","2056192","2056192","99288","99288","2330624","2330624","12214272","12214272","88047616","2203406270464","True","Normal","2056192","2056192","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0468750","84901888","2203403124736","False",,,,"12169216","12169216",,
"svchost","0","207","2203397545984","7409664","1712128","9776","C:\Windows\system32\svchost.exe","Microsoft Corporation","0,0625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2228","Microsoft.Win32.SafeHandles.SafeProcessHandle","207","1824",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9776","9776","1712128","1712128","85368","85368","1982464","1982464","7499776","7499776","83517440","2203401740288","True","Normal","1712128","1712128","00:00:00.0156250","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","00:00:00.0468750","79323136","2203397545984","False",,,,"7409664","7409664",,
"svchost","0","181","2203438612480","12967936","3031040","10712","C:\Windows\system32\svchost.exe","Microsoft Corporation","1,140625","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"4996","Microsoft.Win32.SafeHandles.SafeProcessHandle","181","1932",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10712","10712","3031040","3031040","152296","152296","5976064","5976064","29282304","29282304","352768000","2203670990848","True","Normal","3031040","3031040","00:00:00.3125000","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:01.1406250","00:00:00.8281250","120389632","2203438612480","False",,,,"12967936","12967936",,
"svchost","0","236","2203400785920","10203136","2453504","14360","C:\Windows\System32\svchost.exe","Microsoft Corporation","0,03125","10.0.17763.1 (WinBuild.160101.0800)","10.0.17763.1","Processus h?te pour les services Windows","Syst?me d?exploitation Microsoft? Windows?","Process","8",,"False",,"2872","Microsoft.Win32.SafeHandles.SafeProcessHandle","236","1960",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14360","14360","2453504","2453504","94976","94976","2519040","2519040","10235904","10235904","84996096","2203403218944","True","Normal","2453504","2453504","00:00:00.0312500","svchost","3","True","0","System.Diagnostics.ProcessStartInfo","04/12/2024 08:05:42",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","82563072","2203400785920","False",,,,"10203136","10203136",,
